epoch,train_mse,val_mse,val_mae,val_ssim,lr
1,0.2273414013981819,0.12842376623302698,0.16779327299445868,0.6336072050035,0.001
2,0.12823988622426988,0.11175291147083044,0.14965725131332874,0.7147425413131714,0.001
3,0.11732002219557762,0.10174097167328,0.14004511758685112,0.7428203038871288,0.001
4,0.10865117594599724,0.10197259578853846,0.1394045939669013,0.7499996162950993,0.001
5,0.105735471367836,0.09417693270370364,0.13267633458599448,0.7671743519604206,0.001
6,0.10433104544878007,0.09458035277202725,0.13231605477631092,0.7733353190124035,0.001
7,0.10063116258382797,0.09136409172788262,0.12873800145462155,0.7810146473348141,0.001
8,0.0974456097483635,0.09021989954635501,0.12775355763733387,0.784621573984623,0.001
9,0.09572874808311463,0.09307342581450939,0.12828732701018453,0.785614263266325,0.001
10,0.09462336663901806,0.08775617787614465,0.12453130772337317,0.7954129949212074,0.001
11,0.09212168782949448,0.08523214422166348,0.1229961602948606,0.7954637743532658,0.001
12,0.09181264269351959,0.08867534762248397,0.12469628639519215,0.796080119907856,0.001
13,0.09112455330789089,0.0843602386303246,0.12188943335786462,0.8001762814819813,0.001
14,0.08859698344767093,0.08319683512672782,0.12105342093855143,0.8005008697509766,0.001
15,0.08728448331356048,0.08142289402894676,0.11953856376931071,0.804781187325716,0.001
16,0.0861132532954216,0.08296131668612361,0.1203936617821455,0.8047120235860348,0.001
17,0.08637606355547905,0.07984710088931024,0.11801143642514944,0.8074775859713554,0.001
18,0.08430545023083687,0.08048436837270856,0.11815547803416848,0.8094703853130341,0.001
19,0.08333114345371723,0.08138337288983166,0.11785749020054936,0.8104674182832241,0.001
20,0.08284388534724713,0.08045933581888676,0.12029391527175903,0.8076346665620804,0.001
21,0.08336271078884602,0.0809466342907399,0.11733275465667248,0.8124727383255959,0.001
22,0.08028392039239407,0.07991327508352697,0.11652092076838017,0.8146472088992596,0.001
23,0.07902595892548561,0.08164654462598264,0.11734734755009413,0.811981875449419,0.001
24,0.07600146073102951,0.07488483330234885,0.11385964881628752,0.8159628808498383,0.0005
25,0.07469276916980744,0.0767409133259207,0.11428877105936408,0.8160107992589474,0.0005
26,0.07343140284717083,0.07608584151603281,0.11393130011856556,0.8142459727823734,0.0005
27,0.0730931079685688,0.07542590005323291,0.11361708771437407,0.8167350254952908,0.0005
28,0.07285679343342781,0.07729879301041365,0.11450102180242538,0.815077405422926,0.0005
29,0.07212479786574841,0.0776039925403893,0.11451118486002088,0.8145467340946198,0.0005
30,0.07218489004671573,0.07904581748880446,0.11486723134294152,0.8155841305851936,0.0005
31,0.06931714847683906,0.07435155240818858,0.11230323370546103,0.81884441152215,0.00025
32,0.0682662260979414,0.07519939565099776,0.11258270870894194,0.817779503762722,0.00025
33,0.06791692879796028,0.07573341205716133,0.11310506938025355,0.8162557892501354,0.00025
34,0.06828118401765823,0.07527023134753108,0.11280965059995651,0.8179005533456802,0.00025
35,0.06738889357447624,0.07462323969230056,0.11283751344308257,0.8176264055073261,0.00025
36,0.06693078330159187,0.07697203429415822,0.11353135388344526,0.816270537674427,0.00025
37,0.06635957004129886,0.07721883174963295,0.11369180399924517,0.8168342150747776,0.00025
38,0.0655125721246004,0.07453299569897354,0.11208570236340165,0.8180367015302181,0.000125
39,0.06470597241818905,0.07600091770291328,0.11253856355324388,0.8183923363685608,0.000125
40,0.06449427303671837,0.07565326057374477,0.11250189458951354,0.8176267370581627,0.000125
41,0.06392227219045163,0.0758168799802661,0.1127195949666202,0.8165341652929783,0.000125
42,0.06411681973934173,0.07509176735766232,0.1121677034534514,0.8174807876348495,0.000125
43,0.06409549069404602,0.07533572358079255,0.11226077191531658,0.8182393945753574,0.000125
44,0.06278405864536762,0.07524112379178405,0.11221861140802503,0.8174531199038029,6.25e-05
45,0.06287439852952957,0.07517493981868029,0.11221694899722934,0.8169342428445816,6.25e-05
46,0.06281891943514348,0.0761920080985874,0.11287820665165782,0.815864022821188,6.25e-05
47,0.06299854148924351,0.07630415703170002,0.11280629737302661,0.8166543021798134,6.25e-05
48,0.06248197536170483,0.07511619525030255,0.11215541185811162,0.8176456317305565,6.25e-05
49,0.06234570346772671,0.07529440452344716,0.1123806182295084,0.8171370550990105,6.25e-05
50,0.06216510762274265,0.07610801188275218,0.1129567758180201,0.8156306818127632,3.125e-05
51,0.061764593526721,0.07492976984940469,0.11201181542128325,0.8174573071300983,3.125e-05
52,0.0621827517002821,0.07548296311870217,0.1124747022986412,0.8166152499616146,3.125e-05
53,0.06197689470648766,0.0747955113183707,0.11210497841238976,0.8168555609881878,3.125e-05
54,0.06191939260065556,0.07468726555816829,0.1118794591166079,0.8183814510703087,3.125e-05
55,0.061776431784033775,0.07551753823645413,0.1122272121720016,0.8176643624901772,3.125e-05
56,0.06162787440419197,0.0757210033480078,0.1122831697575748,0.8174126446247101,1.5625e-05
57,0.06161852620542049,0.07535451767034829,0.1122942641377449,0.8170927800238132,1.5625e-05
