epoch,train_mse,val_mse,val_mae,val_ssim,lr
1,0.21675558280944823,0.11194450128823519,0.15889185667037964,0.6427387297153473,0.001
2,0.11075171223282813,0.09172663139179349,0.13717687781900167,0.7293226160109043,0.001
3,0.09571291187405587,0.08168181497603655,0.12704833736643195,0.7571055553853512,0.001
4,0.08728142142295837,0.07689701253548265,0.12303156638517976,0.7682203203439713,0.001
5,0.08266520372033119,0.07087979186326265,0.11705445218831301,0.7849492765963078,0.001
6,0.07648498432338238,0.066534394165501,0.11296646948903799,0.7958912514150143,0.001
7,0.07275629930198192,0.06805874453857541,0.11283815233036876,0.8001672215759754,0.001
8,0.07198416963219642,0.0643306765705347,0.10981642454862595,0.8046834170818329,0.001
9,0.0673496031165123,0.05968558834865689,0.10699209477752447,0.8065775856375694,0.001
10,0.06714326998591423,0.057882892433553934,0.10568639915436506,0.8117999471724033,0.001
11,0.06436650533974171,0.055858602514490485,0.10273340530693531,0.8206794559955597,0.001
12,0.064197690859437,0.06071002851240337,0.10826283833011985,0.8113380447030067,0.001
13,0.06239232431352139,0.05539085599593818,0.1026581171900034,0.8233517184853554,0.001
14,0.06022683560848236,0.0568680870346725,0.10335495648905635,0.8229425549507141,0.001
15,0.05923063842952252,0.052031012484803796,0.09901556698605418,0.8311161361634731,0.001
16,0.05898638316988945,0.05129701038822532,0.0986402751877904,0.8293172419071198,0.001
17,0.057209383293986324,0.052373582031577826,0.10047915484756231,0.8277012147009373,0.001
18,0.05615297082066536,0.052473015151917934,0.09866468468680978,0.8312677219510078,0.001
19,0.054719641536474226,0.04824649542570114,0.09547147061675787,0.8383003957569599,0.001
20,0.054141051307320595,0.047274933429434896,0.09515819465741515,0.8385087288916111,0.001
21,0.05200614558160305,0.04971249704249203,0.09716968424618244,0.8351712748408318,0.001
22,0.05140135437250137,0.04710318590514362,0.09434114769101143,0.8406981378793716,0.001
23,0.05071338784694672,0.049160463036969304,0.09600716223940253,0.8379676453769207,0.001
24,0.05220690731704235,0.052760539343580604,0.09743903996422887,0.8398409448564053,0.001
25,0.04973867705464363,0.045684180688112974,0.09341226564720273,0.8429991789162159,0.001
26,0.051521368518471715,0.04851265670731664,0.09430471295490861,0.8450499512255192,0.001
27,0.05019474396109581,0.045665517216548324,0.09279092215001583,0.8457787856459618,0.001
28,0.048979853138327596,0.04281548806466162,0.09070443641394377,0.8494728356599808,0.001
29,0.04811369757354259,0.04306577472016215,0.09047653339803219,0.8512666635215282,0.001
30,0.04739576859772205,0.04439655737951398,0.09135307231917977,0.8500123657286167,0.001
31,0.04626505739986896,0.044572036946192384,0.09164075134322047,0.8500805236399174,0.001
32,0.046007553428411486,0.040392666356638074,0.08826234517619014,0.855029322206974,0.001
33,0.045892279252409934,0.04915334121324122,0.09329324634745717,0.8496780544519424,0.001
34,0.046785108268260954,0.0424485367257148,0.09006524970754981,0.8545047007501125,0.001
35,0.045311246722936634,0.040024759946390986,0.08782103098928928,0.8568188846111298,0.001
36,0.044384151101112365,0.041274671675637364,0.08897197572514415,0.855679627507925,0.001
37,0.04377464932203293,0.04057615320198238,0.08752686763182282,0.8585132360458374,0.001
38,0.043400689616799354,0.03979307948611677,0.08731100056320429,0.8584703914821148,0.001
39,0.043219644010066983,0.03995435149408877,0.08682688977569342,0.8599082864820957,0.001
40,0.043007526531815526,0.041431972524151206,0.08837880846112967,0.8579708598554134,0.001
41,0.04225673349201679,0.040163405472412705,0.08723559742793441,0.8606310337781906,0.001
42,0.04242436403036118,0.04126545088365674,0.08786657592281699,0.859210766851902,0.001
43,0.04202532821893692,0.04217219655402005,0.08866460435092449,0.858562782406807,0.001
44,0.04218827532231808,0.037512426846660674,0.08475941466167569,0.8647006712853909,0.001
45,0.04088793508708477,0.037790060974657536,0.08554082410410047,0.8624056130647659,0.001
46,0.04155036434531212,0.03795456048101187,0.0850458163768053,0.8645151667296886,0.001
47,0.041015676453709606,0.03678693273104727,0.08418804174289107,0.8671810552477837,0.001
48,0.040860686376690866,0.03779012057930231,0.08470865432173014,0.8648806400597095,0.001
49,0.04036546312272549,0.03817801014520228,0.08540191128849983,0.8650216944515705,0.001
50,0.039649499267339704,0.03924873610958457,0.08549108915030956,0.8643589951097965,0.001
51,0.040292129203677175,0.037713210098445415,0.08462656894698739,0.8662379086017609,0.001
52,0.039800322264432905,0.037857398157939315,0.08571468573063612,0.8642480112612247,0.001
53,0.03894851210713386,0.0392154996516183,0.08497768733650446,0.8658263981342316,0.001
54,0.03653409291803837,0.03431335836648941,0.08158958237618208,0.8715435937047005,0.0005
55,0.03633592599630356,0.034935997682623565,0.08241864899173379,0.8699134960770607,0.0005
56,0.03580011120438576,0.03431504068430513,0.08169680135324597,0.8714251480996609,0.0005
57,0.035537599332630634,0.034610394621267915,0.08162957616150379,0.8715196549892426,0.0005
58,0.03600428868085146,0.03388774790801108,0.08111359924077988,0.8721973039209843,0.0005
59,0.035548558086156846,0.03440391446929425,0.08159776218235493,0.87147057056427,0.0005
60,0.03571568466722965,0.03465787670575082,0.0817433325573802,0.8709940016269684,0.0005
61,0.035569527857005595,0.034018566249869764,0.08092627860605717,0.8734602518379688,0.0005
62,0.03577126789093017,0.036250404780730605,0.08256450574845076,0.8701191134750843,0.0005
63,0.03513089080899954,0.03370524547062814,0.08113979687914252,0.8730150051414967,0.0005
64,0.03531503437459469,0.03389274491928518,0.08116731280460954,0.8722880408167839,0.0005
