epoch,train_mse,val_mse,val_mae,val_ssim,lr
1,0.2425867854654789,0.1437932075932622,0.1758858785033226,0.6624274514615536,0.001
2,0.13743045255541803,0.11513529811054468,0.15340396109968424,0.7262957990169525,0.001
3,0.12095996215939522,0.10866409307345748,0.1455929446965456,0.7641936391592026,0.001
4,0.11263782104849815,0.09825963247567415,0.13603496411815286,0.7908182218670845,0.001
5,0.10867619943618774,0.09939722530543804,0.136658133007586,0.7949781343340874,0.001
6,0.10537086921930314,0.08995638065971434,0.12748775444924831,0.8146030902862549,0.001
7,0.10349743987619876,0.0917606228031218,0.1299564284272492,0.8109775520861149,0.001
8,0.0995697367489338,0.09287154255434871,0.12851526215672493,0.8146294131875038,0.001
9,0.09720037600398064,0.08831682614982128,0.12573710782453418,0.8192706480622292,0.001
10,0.09695084947347642,0.08791329432278872,0.12615870358422399,0.820628859102726,0.001
11,0.09393757396936417,0.08804579917341471,0.12482669437304139,0.8201161026954651,0.001
12,0.09281764438748359,0.08925678161904216,0.12530013965442777,0.8236294649541378,0.001
13,0.09233564996719361,0.08575974870473146,0.12401886284351349,0.8242776058614254,0.001
14,0.09080010211467743,0.08455509599298239,0.12287086946889758,0.824304286390543,0.001
15,0.09038222068548203,0.08671887218952179,0.12356239883229136,0.8239149563014507,0.001
16,0.08909087182581425,0.07983452780172229,0.12285946682095528,0.8293220736086369,0.001
17,0.08754379658401013,0.08181819668971002,0.12051114207133651,0.8280603364109993,0.001
18,0.08726441314816474,0.08428014349192381,0.12126790080219507,0.8254344165325165,0.001
19,0.08610603906214237,0.08342189947143197,0.12165707349777222,0.8272831328213215,0.001
20,0.0861525100171566,0.08364115189760923,0.11981918755918741,0.8286841958761215,0.001
21,0.08515650294721126,0.08123076055198908,0.11886718636378646,0.8295970149338245,0.001
22,0.08553639130294323,0.08274922869168222,0.11971933208405972,0.8287013880908489,0.001
23,0.07778168113529682,0.07902251929044724,0.1139897215180099,0.8385679051280022,0.0005
24,0.07567523482441903,0.07683804538100958,0.11280170967802405,0.8396152295172215,0.0005
25,0.0744209313839674,0.07561818952672184,0.1118527241051197,0.8417884707450867,0.0005
26,0.07436421692371369,0.07727956981398165,0.11342148017138243,0.8396951332688332,0.0005
27,0.073853628590703,0.07558353105559945,0.11256125057116151,0.840291190892458,0.0005
28,0.07264222075045108,0.07538251578807831,0.11253656074404716,0.8413686417043209,0.0005
29,0.07222000403702258,0.07706798799335957,0.11235741758719087,0.8405002132058144,0.0005
30,0.0724491613805294,0.07810439402237535,0.11337034404277802,0.8387273512780666,0.0005
31,0.07145866523683071,0.07491815625689924,0.11096196249127388,0.8413363918662071,0.0005
32,0.07047063907980919,0.07787677925080061,0.11275184759870172,0.8396725095808506,0.0005
33,0.07007043926417827,0.0764955806080252,0.11181628704071045,0.8406557627022266,0.0005
34,0.06938229832053185,0.0759121763985604,0.11182583728805184,0.8409632407128811,0.0005
35,0.0684720923602581,0.07742335507646203,0.11286827502772212,0.8387728929519653,0.0005
36,0.06814917556941509,0.07759974640794098,0.11271056160330772,0.8391683958470821,0.0005
37,0.0677523059695959,0.07718325010500848,0.11195592069998384,0.8400873243808746,0.0005
38,0.06466395303606987,0.07474821922369301,0.10916377091780305,0.8449173346161842,0.00025
39,0.06364138944447041,0.07373507833108306,0.10879799956455827,0.8457377962768078,0.00025
40,0.06282155176997185,0.07392004900611937,0.1088970429264009,0.8454467840492725,0.00025
41,0.06240031099319458,0.07470060489140451,0.10873774392530322,0.8458375968039036,0.00025
42,0.06217775247991085,0.07502241525799036,0.10920383594930172,0.8449136205017567,0.00025
43,0.06170209327340126,0.07602378097362816,0.10946392640471458,0.8444399870932102,0.00025
44,0.061346251666545865,0.07504157978110015,0.10910786548629403,0.8447487279772758,0.00025
45,0.061756543532013895,0.07624246552586555,0.10958698112517595,0.844502117484808,0.00025
46,0.06012966901063919,0.07452941290102899,0.10811625560745597,0.8467773385345936,0.000125
47,0.05970399464666844,0.07423035823740065,0.10804477892816067,0.8465564884245396,0.000125
48,0.059108130231499675,0.07407494960352778,0.10785872535780072,0.8467870876193047,0.000125
49,0.05895010969042778,0.07433394924737513,0.10786766232922673,0.8469745852053165,0.000125
50,0.058916288867592814,0.07480548857711256,0.10811060993000865,0.8469818867743015,0.000125
51,0.05866229328513146,0.07383636222220957,0.10757445078343153,0.8471258543431759,0.000125
52,0.05800671505928039,0.07402838510461152,0.10750807309523225,0.8473556749522686,6.25e-05
53,0.05811426219344139,0.07398875057697296,0.10748497629538178,0.8473771810531616,6.25e-05
54,0.057718816369771955,0.0735428873449564,0.107258977368474,0.8476995080709457,6.25e-05
55,0.057476795583963396,0.0735754759516567,0.10719135031104088,0.8481641970574856,6.25e-05
56,0.0574048111140728,0.07354376558214426,0.10716103250160813,0.8479599878191948,6.25e-05
57,0.057030894175171855,0.07356748031452298,0.10720572946593165,0.8479783609509468,6.25e-05
58,0.05730737480521202,0.07378466404043138,0.10734633030369878,0.8477316983044147,6.25e-05
59,0.05753282454609871,0.07445482001639903,0.10759452451020479,0.8474968411028385,6.25e-05
60,0.05708244514465332,0.07399403629824519,0.10738342814147472,0.8475942425429821,6.25e-05
61,0.05695178574323654,0.07380802347324789,0.10720636323094368,0.8479560390114784,3.125e-05
62,0.056660292118787765,0.07393899071030319,0.10725783556699753,0.8479670360684395,3.125e-05
63,0.05662767416238785,0.07370856055058539,0.10704448586329818,0.8482371456921101,3.125e-05
64,0.05671519643068314,0.07375702471472323,0.10711061023175716,0.8480830788612366,3.125e-05
65,0.056385767191648485,0.07370258215814829,0.10704470751807094,0.8481699489057064,3.125e-05
66,0.05658668714761734,0.0738465148024261,0.1070797317661345,0.8481408134102821,3.125e-05
67,0.056270470961928366,0.07378921331837773,0.10704666562378407,0.8481640741229057,1.5625e-05
68,0.056232555955648425,0.07380864932201803,0.10702467430382967,0.8482249416410923,1.5625e-05
69,0.056090842112898824,0.07365721114911139,0.10696897655725479,0.8482601530849934,1.5625e-05
