Running 1D-1V DA: steps=10000, N_truth=50000, N_obs=50000, N_est=1000, dt=0.05, lambda=0.0, hx=0.39269908169872414, hv=0.26945737763093125, init_mode=model_a, init_T=0.048, init_eps=0.01, init_theta=0.0, keep_prob=1.0, obs_noise_x=0.0, obs_noise_v=0.0
Step  3150/10000 | phase_err_obs=0.019962 | phase_err_truth=19.962353 | obs_ratio=1.000
Step  3200/10000 | phase_err_obs=0.021507 | phase_err_truth=21.507186 | obs_ratio=1.000
Step  3250/10000 | phase_err_obs=0.021201 | phase_err_truth=21.201224 | obs_ratio=1.000
Step  3300/10000 | phase_err_obs=0.019628 | phase_err_truth=19.627708 | obs_ratio=1.000
Step  3350/10000 | phase_err_obs=0.020133 | phase_err_truth=20.132598 | obs_ratio=1.000
Step  3400/10000 | phase_err_obs=0.021592 | phase_err_truth=21.592290 | obs_ratio=1.000
Step  3450/10000 | phase_err_obs=0.020981 | phase_err_truth=20.981300 | obs_ratio=1.000
Step  3500/10000 | phase_err_obs=0.019397 | phase_err_truth=19.396734 | obs_ratio=1.000
Step  3550/10000 | phase_err_obs=0.020334 | phase_err_truth=20.333667 | obs_ratio=1.000
Step  3600/10000 | phase_err_obs=0.021560 | phase_err_truth=21.559962 | obs_ratio=1.000
Step  3650/10000 | phase_err_obs=0.021198 | phase_err_truth=21.197745 | obs_ratio=1.000
Step  3700/10000 | phase_err_obs=0.019343 | phase_err_truth=19.343091 | obs_ratio=1.000
Step  3750/10000 | phase_err_obs=0.020318 | phase_err_truth=20.318165 | obs_ratio=1.000
Step  3800/10000 | phase_err_obs=0.021543 | phase_err_truth=21.542719 | obs_ratio=1.000
Step  3850/10000 | phase_err_obs=0.021189 | phase_err_truth=21.189473 | obs_ratio=1.000
Step  3900/10000 | phase_err_obs=0.019288 | phase_err_truth=19.288004 | obs_ratio=1.000
Step  3950/10000 | phase_err_obs=0.020356 | phase_err_truth=20.355812 | obs_ratio=1.000
Step  4000/10000 | phase_err_obs=0.021443 | phase_err_truth=21.443448 | obs_ratio=1.000
Step  4050/10000 | phase_err_obs=0.021183 | phase_err_truth=21.183500 | obs_ratio=1.000
Step  4100/10000 | phase_err_obs=0.019293 | phase_err_truth=19.293162 | obs_ratio=1.000
Step  4150/10000 | phase_err_obs=0.020424 | phase_err_truth=20.424462 | obs_ratio=1.000
Step  4200/10000 | phase_err_obs=0.021370 | phase_err_truth=21.369776 | obs_ratio=1.000
Step  4250/10000 | phase_err_obs=0.021085 | phase_err_truth=21.085378 | obs_ratio=1.000
Step  4300/10000 | phase_err_obs=0.019389 | phase_err_truth=19.388649 | obs_ratio=1.000
Step  4350/10000 | phase_err_obs=0.020360 | phase_err_truth=20.359655 | obs_ratio=1.000
Step  4400/10000 | phase_err_obs=0.021243 | phase_err_truth=21.243244 | obs_ratio=1.000
Step  4450/10000 | phase_err_obs=0.020763 | phase_err_truth=20.763099 | obs_ratio=1.000
Step  4500/10000 | phase_err_obs=0.019518 | phase_err_truth=19.518209 | obs_ratio=1.000
Step  4550/10000 | phase_err_obs=0.020519 | phase_err_truth=20.518961 | obs_ratio=1.000
Step  4600/10000 | phase_err_obs=0.021046 | phase_err_truth=21.045744 | obs_ratio=1.000
Step  4650/10000 | phase_err_obs=0.020508 | phase_err_truth=20.507932 | obs_ratio=1.000
