Running 1D-1V DA: steps=10000, N_truth=50000, N_obs=50000, N_est=1000, dt=0.05, lambda=10.0, hx=0.39269908169872414, hv=0.26945737763093125, init_mode=model_a, init_T=0.048, init_eps=0.01, init_theta=0.0, keep_prob=1.0, obs_noise_x=0.0, obs_noise_v=0.0
Step    50/10000 | phase_err_obs=0.003159 | phase_err_truth=3.142337 | obs_ratio=1.000
Step   100/10000 | phase_err_obs=0.001425 | phase_err_truth=1.421134 | obs_ratio=1.000
Step   150/10000 | phase_err_obs=0.000963 | phase_err_truth=0.961521 | obs_ratio=1.000
Step   200/10000 | phase_err_obs=0.000783 | phase_err_truth=0.780887 | obs_ratio=1.000
Step   250/10000 | phase_err_obs=0.000698 | phase_err_truth=0.694772 | obs_ratio=1.000
Step   300/10000 | phase_err_obs=0.000723 | phase_err_truth=0.719862 | obs_ratio=1.000
Step   350/10000 | phase_err_obs=0.000716 | phase_err_truth=0.712559 | obs_ratio=1.000
Step   400/10000 | phase_err_obs=0.000651 | phase_err_truth=0.648421 | obs_ratio=1.000
Step   450/10000 | phase_err_obs=0.000603 | phase_err_truth=0.600122 | obs_ratio=1.000
Step   500/10000 | phase_err_obs=0.000565 | phase_err_truth=0.562832 | obs_ratio=1.000
Step   550/10000 | phase_err_obs=0.000662 | phase_err_truth=0.659370 | obs_ratio=1.000
Step   600/10000 | phase_err_obs=0.000590 | phase_err_truth=0.587656 | obs_ratio=1.000
Step   650/10000 | phase_err_obs=0.000596 | phase_err_truth=0.593295 | obs_ratio=1.000
Step   700/10000 | phase_err_obs=0.000585 | phase_err_truth=0.582855 | obs_ratio=1.000
Step   750/10000 | phase_err_obs=0.000636 | phase_err_truth=0.632769 | obs_ratio=1.000
Step   800/10000 | phase_err_obs=0.000693 | phase_err_truth=0.690046 | obs_ratio=1.000
Step   850/10000 | phase_err_obs=0.000541 | phase_err_truth=0.539468 | obs_ratio=1.000
Step   900/10000 | phase_err_obs=0.000586 | phase_err_truth=0.583617 | obs_ratio=1.000
Step   950/10000 | phase_err_obs=0.000661 | phase_err_truth=0.658118 | obs_ratio=1.000
Step  1000/10000 | phase_err_obs=0.000673 | phase_err_truth=0.669720 | obs_ratio=1.000
Step  1050/10000 | phase_err_obs=0.000572 | phase_err_truth=0.569844 | obs_ratio=1.000
Step  1100/10000 | phase_err_obs=0.000539 | phase_err_truth=0.537258 | obs_ratio=1.000
Step  1150/10000 | phase_err_obs=0.000500 | phase_err_truth=0.497616 | obs_ratio=1.000
Step  1200/10000 | phase_err_obs=0.000602 | phase_err_truth=0.599870 | obs_ratio=1.000
Step  1250/10000 | phase_err_obs=0.000582 | phase_err_truth=0.579573 | obs_ratio=1.000
