Running 1D-1V DA: steps=10000, N_truth=50000, N_obs=50000, N_est=1000, dt=0.05, lambda=100.0, hx=0.39269908169872414, hv=0.26945737763093125, init_mode=model_a, init_T=0.048, init_eps=0.01, init_theta=0.0, keep_prob=1.0, obs_noise_x=0.0, obs_noise_v=0.0
Step    50/10000 | phase_err_obs=0.000242 | phase_err_truth=0.240067 | obs_ratio=1.000
Step   100/10000 | phase_err_obs=0.000172 | phase_err_truth=0.171202 | obs_ratio=1.000
Step   150/10000 | phase_err_obs=0.000174 | phase_err_truth=0.172708 | obs_ratio=1.000
Step   200/10000 | phase_err_obs=0.000180 | phase_err_truth=0.178114 | obs_ratio=1.000
Step   250/10000 | phase_err_obs=0.000194 | phase_err_truth=0.193185 | obs_ratio=1.000
Step   300/10000 | phase_err_obs=0.000194 | phase_err_truth=0.192620 | obs_ratio=1.000
Step   350/10000 | phase_err_obs=0.000168 | phase_err_truth=0.165859 | obs_ratio=1.000
Step   400/10000 | phase_err_obs=0.000168 | phase_err_truth=0.165963 | obs_ratio=1.000
Step   450/10000 | phase_err_obs=0.000192 | phase_err_truth=0.189968 | obs_ratio=1.000
Step   500/10000 | phase_err_obs=0.000166 | phase_err_truth=0.164380 | obs_ratio=1.000
Step   550/10000 | phase_err_obs=0.000172 | phase_err_truth=0.169579 | obs_ratio=1.000
Step   600/10000 | phase_err_obs=0.000164 | phase_err_truth=0.162030 | obs_ratio=1.000
Step   650/10000 | phase_err_obs=0.000150 | phase_err_truth=0.149010 | obs_ratio=1.000
Step   700/10000 | phase_err_obs=0.000169 | phase_err_truth=0.167820 | obs_ratio=1.000
Step   750/10000 | phase_err_obs=0.000170 | phase_err_truth=0.167978 | obs_ratio=1.000
Step   800/10000 | phase_err_obs=0.000173 | phase_err_truth=0.171575 | obs_ratio=1.000
Step   850/10000 | phase_err_obs=0.000184 | phase_err_truth=0.182408 | obs_ratio=1.000
Step   900/10000 | phase_err_obs=0.000178 | phase_err_truth=0.176809 | obs_ratio=1.000
Step   950/10000 | phase_err_obs=0.000164 | phase_err_truth=0.161971 | obs_ratio=1.000
Step  1000/10000 | phase_err_obs=0.000208 | phase_err_truth=0.205306 | obs_ratio=1.000
Step  1050/10000 | phase_err_obs=0.000170 | phase_err_truth=0.168915 | obs_ratio=1.000
Step  1100/10000 | phase_err_obs=0.000203 | phase_err_truth=0.200944 | obs_ratio=1.000
Step  1150/10000 | phase_err_obs=0.000189 | phase_err_truth=0.186962 | obs_ratio=1.000
Step  1200/10000 | phase_err_obs=0.000178 | phase_err_truth=0.176435 | obs_ratio=1.000
Step  1250/10000 | phase_err_obs=0.000172 | phase_err_truth=0.170504 | obs_ratio=1.000
Step  1300/10000 | phase_err_obs=0.000194 | phase_err_truth=0.191635 | obs_ratio=1.000
Step  1350/10000 | phase_err_obs=0.000187 | phase_err_truth=0.186231 | obs_ratio=1.000
Step  1400/10000 | phase_err_obs=0.000187 | phase_err_truth=0.184508 | obs_ratio=1.000
Step  1450/10000 | phase_err_obs=0.000164 | phase_err_truth=0.162619 | obs_ratio=1.000
Step  1500/10000 | phase_err_obs=0.000216 | phase_err_truth=0.214563 | obs_ratio=1.000
Step  1550/10000 | phase_err_obs=0.000196 | phase_err_truth=0.194484 | obs_ratio=1.000
Step  1600/10000 | phase_err_obs=0.000186 | phase_err_truth=0.184136 | obs_ratio=1.000
Step  1650/10000 | phase_err_obs=0.000173 | phase_err_truth=0.171558 | obs_ratio=1.000
Step  1700/10000 | phase_err_obs=0.000202 | phase_err_truth=0.200288 | obs_ratio=1.000
Step  1750/10000 | phase_err_obs=0.000185 | phase_err_truth=0.183045 | obs_ratio=1.000
Step  1800/10000 | phase_err_obs=0.000193 | phase_err_truth=0.191233 | obs_ratio=1.000
Step  1850/10000 | phase_err_obs=0.000190 | phase_err_truth=0.187762 | obs_ratio=1.000
Step  1900/10000 | phase_err_obs=0.000220 | phase_err_truth=0.218541 | obs_ratio=1.000
Step  1950/10000 | phase_err_obs=0.000195 | phase_err_truth=0.192645 | obs_ratio=1.000
Step  2000/10000 | phase_err_obs=0.000222 | phase_err_truth=0.219574 | obs_ratio=1.000
Step  2050/10000 | phase_err_obs=0.000206 | phase_err_truth=0.204121 | obs_ratio=1.000
Step  2100/10000 | phase_err_obs=0.000223 | phase_err_truth=0.221351 | obs_ratio=1.000
Step  2150/10000 | phase_err_obs=0.000214 | phase_err_truth=0.212176 | obs_ratio=1.000
Step  2200/10000 | phase_err_obs=0.000232 | phase_err_truth=0.229503 | obs_ratio=1.000
Step  2250/10000 | phase_err_obs=0.000224 | phase_err_truth=0.222044 | obs_ratio=1.000
Step  2300/10000 | phase_err_obs=0.000232 | phase_err_truth=0.229900 | obs_ratio=1.000
Step  2350/10000 | phase_err_obs=0.000235 | phase_err_truth=0.233005 | obs_ratio=1.000
Step  2400/10000 | phase_err_obs=0.000246 | phase_err_truth=0.243406 | obs_ratio=1.000
Step  2450/10000 | phase_err_obs=0.000227 | phase_err_truth=0.225582 | obs_ratio=1.000
