Running 1D-1V DA: steps=10000, N_truth=50000, N_obs=50000, N_est=1000, dt=0.05, lambda=1000.0, hx=0.39269908169872414, hv=0.26945737763093125, init_mode=model_a, init_T=0.048, init_eps=0.01, init_theta=0.0, keep_prob=1.0, obs_noise_x=0.0, obs_noise_v=0.0
Step    50/10000 | phase_err_obs=0.000056 | phase_err_truth=0.056309 | obs_ratio=1.000
Step   100/10000 | phase_err_obs=0.000052 | phase_err_truth=0.051900 | obs_ratio=1.000
Step   150/10000 | phase_err_obs=0.000056 | phase_err_truth=0.056094 | obs_ratio=1.000
Step   200/10000 | phase_err_obs=0.000056 | phase_err_truth=0.056274 | obs_ratio=1.000
Step   250/10000 | phase_err_obs=0.000053 | phase_err_truth=0.052774 | obs_ratio=1.000
Step   300/10000 | phase_err_obs=0.000061 | phase_err_truth=0.060553 | obs_ratio=1.000
Step   350/10000 | phase_err_obs=0.000059 | phase_err_truth=0.059171 | obs_ratio=1.000
Step   400/10000 | phase_err_obs=0.000055 | phase_err_truth=0.054470 | obs_ratio=1.000
Step   450/10000 | phase_err_obs=0.000059 | phase_err_truth=0.058372 | obs_ratio=1.000
Step   500/10000 | phase_err_obs=0.000058 | phase_err_truth=0.057664 | obs_ratio=1.000
Step   550/10000 | phase_err_obs=0.000062 | phase_err_truth=0.062041 | obs_ratio=1.000
Step   600/10000 | phase_err_obs=0.000063 | phase_err_truth=0.062658 | obs_ratio=1.000
Step   650/10000 | phase_err_obs=0.000060 | phase_err_truth=0.060236 | obs_ratio=1.000
Step   700/10000 | phase_err_obs=0.000069 | phase_err_truth=0.069227 | obs_ratio=1.000
Step   750/10000 | phase_err_obs=0.000069 | phase_err_truth=0.068916 | obs_ratio=1.000
Step   800/10000 | phase_err_obs=0.000062 | phase_err_truth=0.062185 | obs_ratio=1.000
Step   850/10000 | phase_err_obs=0.000055 | phase_err_truth=0.055279 | obs_ratio=1.000
Step   900/10000 | phase_err_obs=0.000078 | phase_err_truth=0.077533 | obs_ratio=1.000
Step   950/10000 | phase_err_obs=0.000065 | phase_err_truth=0.065248 | obs_ratio=1.000
Step  1000/10000 | phase_err_obs=0.000071 | phase_err_truth=0.070440 | obs_ratio=1.000
Step  1050/10000 | phase_err_obs=0.000066 | phase_err_truth=0.065690 | obs_ratio=1.000
Step  1100/10000 | phase_err_obs=0.000074 | phase_err_truth=0.074322 | obs_ratio=1.000
Step  1150/10000 | phase_err_obs=0.000070 | phase_err_truth=0.069674 | obs_ratio=1.000
Step  1200/10000 | phase_err_obs=0.000076 | phase_err_truth=0.076276 | obs_ratio=1.000
Step  1250/10000 | phase_err_obs=0.000073 | phase_err_truth=0.072404 | obs_ratio=1.000
Step  1300/10000 | phase_err_obs=0.000064 | phase_err_truth=0.064222 | obs_ratio=1.000
Step  1350/10000 | phase_err_obs=0.000066 | phase_err_truth=0.065815 | obs_ratio=1.000
Step  1400/10000 | phase_err_obs=0.000073 | phase_err_truth=0.073234 | obs_ratio=1.000
Step  1450/10000 | phase_err_obs=0.000074 | phase_err_truth=0.074239 | obs_ratio=1.000
Step  1500/10000 | phase_err_obs=0.000079 | phase_err_truth=0.078423 | obs_ratio=1.000
Step  1550/10000 | phase_err_obs=0.000072 | phase_err_truth=0.071943 | obs_ratio=1.000
Step  1600/10000 | phase_err_obs=0.000062 | phase_err_truth=0.062004 | obs_ratio=1.000
Step  1650/10000 | phase_err_obs=0.000063 | phase_err_truth=0.062345 | obs_ratio=1.000
Step  1700/10000 | phase_err_obs=0.000079 | phase_err_truth=0.078311 | obs_ratio=1.000
Step  1750/10000 | phase_err_obs=0.000070 | phase_err_truth=0.070293 | obs_ratio=1.000
Step  1800/10000 | phase_err_obs=0.000067 | phase_err_truth=0.066870 | obs_ratio=1.000
Step  1850/10000 | phase_err_obs=0.000083 | phase_err_truth=0.082545 | obs_ratio=1.000
Step  1900/10000 | phase_err_obs=0.000089 | phase_err_truth=0.088928 | obs_ratio=1.000
Step  1950/10000 | phase_err_obs=0.000077 | phase_err_truth=0.077004 | obs_ratio=1.000
Step  2000/10000 | phase_err_obs=0.000088 | phase_err_truth=0.087701 | obs_ratio=1.000
Step  2050/10000 | phase_err_obs=0.000088 | phase_err_truth=0.087532 | obs_ratio=1.000
Step  2100/10000 | phase_err_obs=0.000081 | phase_err_truth=0.080734 | obs_ratio=1.000
Step  2150/10000 | phase_err_obs=0.000099 | phase_err_truth=0.098585 | obs_ratio=1.000
Step  2200/10000 | phase_err_obs=0.000098 | phase_err_truth=0.097556 | obs_ratio=1.000
Step  2250/10000 | phase_err_obs=0.000113 | phase_err_truth=0.112857 | obs_ratio=1.000
Step  2300/10000 | phase_err_obs=0.000129 | phase_err_truth=0.129254 | obs_ratio=1.000
Step  2350/10000 | phase_err_obs=0.000122 | phase_err_truth=0.121719 | obs_ratio=1.000
Step  2400/10000 | phase_err_obs=0.000129 | phase_err_truth=0.128994 | obs_ratio=1.000
Step  2450/10000 | phase_err_obs=0.000129 | phase_err_truth=0.128641 | obs_ratio=1.000
Step  2500/10000 | phase_err_obs=0.000121 | phase_err_truth=0.120904 | obs_ratio=1.000
Step  2550/10000 | phase_err_obs=0.000116 | phase_err_truth=0.116130 | obs_ratio=1.000
Step  2600/10000 | phase_err_obs=0.000113 | phase_err_truth=0.113156 | obs_ratio=1.000
