epoch,train_mse,val_mse,val_mae,val_ssim,lr
1,0.2572449277639389,0.15535916946828365,0.18403912335634232,0.6492918096482754,0.001
2,0.14520446658134462,0.12245373893529177,0.16079457476735115,0.7102222517132759,0.001
3,0.12409670656919479,0.11160422395914793,0.14768744073808193,0.7602004855871201,0.001
4,0.11657473534345626,0.1026066797785461,0.13922190107405186,0.7887059822678566,0.001
5,0.11053428184986115,0.10069676814600825,0.13974210806190968,0.7880743630230427,0.001
6,0.10682611450552941,0.09318096796050668,0.12903094850480556,0.8117962330579758,0.001
7,0.1048466414809227,0.09461418958380818,0.13129428727552295,0.8080026544630527,0.001
8,0.10178988879919051,0.09431262640282512,0.13049405859783292,0.8123276643455029,0.001
9,0.09844471058249474,0.0888257222250104,0.12708732997998595,0.8172131441533566,0.001
10,0.09797481733560562,0.08881391724571586,0.12610227102413774,0.819475494325161,0.001
11,0.09600289133191109,0.08922570757567883,0.12657343037426472,0.8205648027360439,0.001
12,0.09427071559429169,0.0862359432503581,0.12537147803232074,0.8222459033131599,0.001
13,0.0942408364713192,0.08545452728867531,0.1234926269389689,0.8244315944612026,0.001
14,0.09329962146282196,0.08593165804632008,0.12370330700650811,0.822638850659132,0.001
15,0.09106076991558075,0.08263475447893143,0.12108225841075182,0.826467715203762,0.001
16,0.0903477427214384,0.0841152525972575,0.12468540575355291,0.8259991966187954,0.001
17,0.08896749784052373,0.08614958496764302,0.12447040621191263,0.8229769133031368,0.001
18,0.08907728883624076,0.08717241557314992,0.12445231573656201,0.8212182186543941,0.001
19,0.08732045878469943,0.08250185521319509,0.12161180097609758,0.8287865407764912,0.001
20,0.08646085143089294,0.08122720546089113,0.1189340646378696,0.82961355894804,0.001
21,0.08612430168688297,0.08035109145566821,0.11957562807947397,0.8291839770972729,0.001
22,0.08611871333420276,0.08416491374373436,0.12053065560758114,0.8274817802011967,0.001
23,0.08551629324257373,0.0835613370873034,0.12080134777352214,0.8262941353023052,0.001
24,0.08329645584523677,0.08125579450279474,0.11835525091737509,0.8290725909173489,0.001
25,0.08244026307761669,0.08021540124900639,0.11800083704292774,0.8309926837682724,0.001
26,0.08231878972053527,0.08263327297754586,0.1181989274919033,0.8301620446145535,0.001
27,0.08296090105175973,0.08271071617491543,0.11812878819182515,0.8292142637073994,0.001
